expr_id,cond_id,para_nr,line_nr,word_nr,word,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,10,0,85,într-o,346.0,346.0,346.0,346.0,346.0,1,0,0,0
2,1,10,0,86,proporție,502.0,502.0,502.0,502.0,502.0,1,0,0,0
2,1,10,0,87,mai,248.0,248.0,248.0,248.0,248.0,1,0,0,0
2,1,10,0,88,mare,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,89,de,1100.0,1100.0,1100.0,1100.0,1100.0,1,0,0,0
2,1,10,0,90,boli,349.0,349.0,349.0,349.0,349.0,1,0,0,0
2,1,10,0,91,de,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,92,inimă,249.0,249.0,249.0,249.0,249.0,1,0,0,0
2,1,10,0,93,și,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,94,de,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,95,cancer.,401.0,401.0,401.0,401.0,401.0,1,0,0,0
2,1,10,0,96,Aceste,399.0,399.0,399.0,399.0,399.0,1,0,0,0
2,1,10,0,97,rezultate,400.0,400.0,400.0,400.0,400.0,1,0,0,0
2,1,10,0,98,șocante,400.0,400.0,400.0,400.0,400.0,1,0,0,0
2,1,10,0,99,sunt,255.0,255.0,255.0,255.0,255.0,1,0,0,0
2,1,10,0,100,similare,648.0,648.0,648.0,648.0,648.0,1,0,0,0
2,1,10,0,101,cu,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,102,acelea,1399.0,1399.0,1399.0,1399.0,1399.0,1,0,0,0
2,1,10,0,103,din,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,104,alte,303.0,303.0,303.0,303.0,303.0,1,0,0,0
2,1,10,0,105,studii.,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,0,Comitetul,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,1,pentru,350.0,350.0,350.0,350.0,350.0,1,0,0,0
2,1,10,0,2,Medicină,402.0,402.0,402.0,402.0,402.0,1,0,0,0
2,1,10,0,3,Responsabilă,400.0,400.0,400.0,400.0,400.0,1,0,0,0
2,1,10,0,4,(CMR),248.0,248.0,248.0,248.0,248.0,1,0,0,0
2,1,10,0,5,comentează,498.0,498.0,498.0,498.0,498.0,1,0,0,0
2,1,10,0,6,problemele,500.0,500.0,500.0,500.0,500.0,1,0,0,0
2,1,10,0,7,medicale,500.0,500.0,500.0,500.0,500.0,1,0,0,0
2,1,10,0,8,legate,1200.0,1200.0,1200.0,1200.0,1200.0,1,0,0,0
2,1,10,0,9,de,254.0,254.0,254.0,254.0,254.0,1,0,0,0
2,1,10,0,10,consumul,346.0,346.0,346.0,346.0,346.0,1,0,0,0
2,1,10,0,11,de,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,12,lapte.,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,13,"Practic,",696.0,696.0,696.0,696.0,696.0,1,0,0,0
2,1,10,0,14,laptele,500.0,500.0,500.0,500.0,500.0,1,0,0,0
2,1,10,0,15,și,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,16,produsele,604.0,604.0,604.0,604.0,604.0,1,0,0,0
2,1,10,0,17,lactate,396.0,396.0,396.0,396.0,396.0,1,0,0,0
2,1,10,0,18,„aduc,404.0,404.0,404.0,404.0,404.0,1,0,0,0
2,1,10,0,19,puține,1448.0,1448.0,1448.0,1448.0,1448.0,1,0,0,0
2,1,10,0,20,beneficii,449.0,449.0,449.0,449.0,449.0,1,0,0,0
2,1,10,0,21,sau,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,22,nu,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,23,au,249.0,249.0,249.0,249.0,249.0,1,0,0,0
2,1,10,0,24,niciun,297.0,297.0,297.0,297.0,297.0,1,0,0,0
2,1,10,0,25,efect,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,26,pozitiv,400.0,400.0,400.0,400.0,400.0,1,0,0,0
2,1,10,0,27,asupra,449.0,449.0,449.0,449.0,449.0,1,0,0,0
2,1,10,0,28,sistemului,702.0,702.0,702.0,702.0,702.0,1,0,0,0
2,1,10,0,29,osos”.,297.0,297.0,297.0,297.0,297.0,1,0,0,0
2,1,10,0,30,CMR,1201.0,1201.0,1201.0,1201.0,1201.0,1,0,0,0
2,1,10,0,31,evidențiază,551.0,551.0,551.0,551.0,551.0,1,0,0,0
2,1,10,0,32,și,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,33,câteva,298.0,298.0,298.0,298.0,298.0,1,0,0,0
2,1,10,0,34,probleme,399.0,399.0,399.0,399.0,399.0,1,0,0,0
2,1,10,0,35,specifice,704.0,704.0,704.0,704.0,704.0,1,0,0,0
2,1,10,0,36,asociate,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,37,consumului,594.0,594.0,594.0,594.0,594.0,1,0,0,0
2,1,10,0,38,de,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,39,lapte:,1050.0,1050.0,1050.0,1050.0,1050.0,1,0,0,0
2,1,10,0,40,„Proteinele,604.0,604.0,604.0,604.0,604.0,1,0,0,0
2,1,10,0,41,din,250.0,250.0,250.0,250.0,250.0,1,0,0,0
