expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,1,"ei,",65,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,305.0,305.0,305.0,305.0,305.0,1.0,0.0,0,0
2,1,1,oferind,66,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,1795.0,1795.0,1795.0,1795.0,1795.0,1.0,0.0,0,0
2,1,1,sprijin,67,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,654.0,654.0,654.0,654.0,654.0,1.0,0.0,0,0
2,1,1,financiar,68,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,648.0,648.0,648.0,648.0,648.0,1.0,0.0,0,0
2,1,1,pentru,69,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,449.0,449.0,449.0,449.0,449.0,1.0,0.0,0,0
2,1,1,desfășurarea,70,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,654.0,654.0,654.0,654.0,654.0,1.0,0.0,0,0
2,1,1,diverselor,71,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,645.0,645.0,645.0,645.0,645.0,1.0,0.0,0,0
2,1,1,activități,72,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,901.0,901.0,901.0,901.0,901.0,1.0,0.0,0,0
2,1,1,de,73,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0,0,0
2,1,1,networking.,74,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,Aceste,75,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,activități,76,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,includ,77,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,întâlniri,78,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,ale,79,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,grupurilor,80,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,de,81,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,"lucru,",82,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,școli,83,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,de,84,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,formare,85,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,pentru,86,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,a,87,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,împărtăși,88,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,abilități,89,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,cu,90,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,cercetătorii,91,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,mai,92,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,tineri,93,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,și,94,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,vizite,95,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,științifice,96,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
